restaurant,restaurant_address,food,food_origin
Chipotle,5887 Javier Fort Apt. 356,Fettuccine Alfredo,aruba
Chick-fil-A,2450 Lozano Spring,Jollof Rice,new-zealand
Applebee's,2163 Sarah Inlet Suite 927,Hummus,botswana
Texas Roadhouse,685 Tom Divide Apt. 622,Pierogi,hong-kong
Shake Shack,517 Gonzalez Orchard,Arepas,vietnam
McDonald's,925 Ramirez Road,Pizza,iran
Sonic Drive-In,745 Dana River Suite 513,Baguette,congo-democratic-republic-of-the
TGI Friday's,18669 Jackson Mount Suite 376,Biryani,estonia
IHOP,764 Moyer Groves,French Fries,kazakhstan
Sonic Drive-In,4859 Isaac Squares,Roti,congo-republic-of-the
Cheesecake Factory,248 Aaron Wall Suite 624,Curry,guernsey
Ruby Tuesday,2314 Anderson Coves Suite 102,Goulash,mozambique
Dunkin',98184 Knight Underpass,Cornbread,guinea
Chick-fil-A,556 Kaylee Fords,Tempura,seychelles
Wendy's,3347 White Street,Laksa,saint-vincent-and-the-grenadines
Red Lobster,3600 Tamara Circle Apt. 910,Moussaka,lesotho
Outback Steakhouse,3716 Weiss Mill Apt. 724,Bratwurst,morocco
Taco Bell,68341 Christy Village,Roti,congo-republic-of-the
Little Caesars,2845 Miller Harbors Suite 164,Banoffee Pie,portugal
McDonald's,19362 Payne Causeway Suite 534,Meatballs,bermuda
Cracker Barrel,150 Tina Shoals Apt. 638,French Fries,kenya
Outback Steakhouse,26939 Mathews Throughway Suite 744,Moussaka,lesotho
Red Lobster,66057 Bradford Ramp,Curry,guernsey
Chili's,0768 Hector Trace,Baguette,brunei
Subway,66337 Julie Cape Apt. 093,Ratatouille,eswatini
Wendy's,898 David Squares,Bento Box,mexico
Popeyes,45590 Brown Prairie,Coleslaw,senegal
Texas Roadhouse,419 Davis Centers Suite 321,Jambalaya,gabon
Little Caesars,8446 Swanson Plaza Suite 553,Borscht,sweden
Taco Bell,98184 Knight Underpass,Udon,mauritania
Tim Hortons,61988 Tony Isle,Tempura,seychelles
Wendy's,22777 Rush Key,Lamb Roast,burkina-faso
McDonald's,006 Scott Mountain Suite 766,Salad,ecuador
Chili's,34229 Earl Squares Apt. 712,Curry,burkina-faso
Shake Shack,517 Gonzalez Orchard,Cornbread,canada
Olive Garden,9526 Jones Lodge Apt. 826,Cheesecake,china
Panera Bread,442 Reynolds Expressway,Bratwurst,philippines
Texas Roadhouse,419 Davis Centers Suite 321,Miso Soup,congo-democratic-republic-of-the
Five Guys,8897 Castaneda Way Apt. 829,Pad Thai,dominican-republic
Popeyes,480 Matthew Ville Suite 854,Fish and Chips,new-zealand
Domino's,000 Carney Circle,Lasagna,bahamas-the
Applebee's,8830 Wise Forest Apt. 322,Lamb Roast,burkina-faso
Five Guys,8897 Castaneda Way Apt. 829,Borscht,cyprus
McDonald's,598 Thomas Springs,Clam Chowder,malawi
Panera Bread,30025 Cynthia Bypass Apt. 688,Falafel,burkina-faso
Dunkin',8840 Grant Valley Suite 846,Falafel,panama
Olive Garden,213 Brandon Extensions Suite 945,Chow Mein,congo-democratic-republic-of-the
Panera Bread,447 Alyssa Radial Apt. 946,Steamed Buns,cambodia
Chick-fil-A,553 Anderson Ridge Apt. 584,Steamed Buns,australia
Chipotle,664 Austin Extension,Pho,belgium
Cheesecake Factory,248 Aaron Wall Suite 624,Tamales,south-sudan
Texas Roadhouse,66456 Katherine Place,Miso Soup,china
Red Lobster,66057 Bradford Ramp,Paella,curacao
TGI Friday's,254 Natalie Harbor,Kebab,somalia
Domino's,000 Carney Circle,Spring Rolls,hungary
IHOP,18825 Powers Trail,Meatballs,pakistan
Sonic Drive-In,616 Yvette Islands,Goulash,spain
Domino's,670 Vanessa Cape,Omelette,curacao
Sonic Drive-In,08186 Briggs Path Apt. 893,Banoffee Pie,uruguay
Dunkin',677 Carolyn Way,Satay,guyana
Chick-fil-A,5113 Webb Springs,Udon,malta
Cheesecake Factory,925 Ramirez Road,Fish and Chips,new-zealand
Starbucks,3461 Samuel Wells Apt. 182,Steak,guinea-bissau
McDonald's,82905 Douglas Plains Suite 291,Samosa,zimbabwe
Dunkin',8840 Grant Valley Suite 846,Pierogi,bosnia-and-herzegovina
Olive Garden,861 Gibson Square Apt. 265,Falafel,burkina-faso
Ruby Tuesday,2314 Anderson Coves Suite 102,Salad,mozambique
Subway,2450 Lozano Spring,Banoffee Pie,montenegro
Outback Steakhouse,3716 Weiss Mill Apt. 724,Gnocchi,austria
Chipotle,0976 Conway Route Apt. 897,Meatballs,pakistan
Outback Steakhouse,1673 Townsend Turnpike,Pizza,saint-vincent-and-the-grenadines
Texas Roadhouse,9072 Sherman Loop,Crepes,israel
Chipotle,664 Austin Extension,Moussaka,greenland
Dunkin',5112 Campbell Mount,Udon,mauritania
Olive Garden,455 Stephens Landing,Kimchi,dominican-republic
Shake Shack,20131 Bradley Ways,Harira,canada
Pizza Hut,567 Dean Ways Apt. 733,Laksa,nepal
Domino's,251 Barnett Parks,Carrot Cake,cayman-islands
Cheesecake Factory,30538 Carrie Pike Apt. 628,Pierogi,hong-kong
Chipotle,5073 Scott Groves Suite 909,Arepas,cote-divoire
Arby's,66337 Julie Cape Apt. 093,Risotto,bhutan
KFC,1673 Townsend Turnpike,Goulash,congo-democratic-republic-of-the
Red Lobster,53104 Lambert Field Suite 907,Omelette,curacao
Cheesecake Factory,20611 Wheeler Pine,Carrot Cake,egypt
Cheesecake Factory,20611 Wheeler Pine,Laksa,russia
Starbucks,0324 Claudia Tunnel Apt. 292,Jambalaya,bermuda
Olive Garden,322 Medina River,Samosa,georgia
Ruby Tuesday,477 Smith Meadow Apt. 029,Falafel,bosnia-and-herzegovina
Chipotle,0976 Conway Route Apt. 897,Harira,tonga
Burger King,039 Johnson Bypass Apt. 537,Tonkatsu,serbia
TGI Friday's,38536 Richardson Green,Pho,montenegro
IHOP,18825 Powers Trail,Goulash,mozambique
Outback Steakhouse,9486 Nancy Keys,Pad Thai,somalia
Arby's,66337 Julie Cape Apt. 093,Miso Soup,zambia
KFC,861 Gibson Square Apt. 265,Croissant,malta
Wendy's,3347 White Street,Pho,comoros
Texas Roadhouse,66456 Katherine Place,Steak,guinea-bissau
KFC,1673 Townsend Turnpike,Pizza,iran
Cracker Barrel,9072 Sherman Loop,Gelato,vanuatu
Five Guys,720 Wells Street,Curry,lebanon
TGI Friday's,254 Natalie Harbor,Cassoulet,kenya
Sonic Drive-In,5073 Scott Groves Suite 909,Jambalaya,cayman-islands
Tim Hortons,00983 Pamela Springs,Harira,tonga
Taco Bell,546 Clark Mall,Cornbread,china
IHOP,6402 Reid Ford,Banoffee Pie,montenegro
Sonic Drive-In,616 Yvette Islands,Salad,malaysia
Applebee's,720 Wells Street,Satay,bahamas-the
Taco Bell,74304 Kevin Trail,Salad,namibia
Domino's,082 Corey Coves,Meatballs,malawi
Pizza Hut,161 Berry Falls Suite 287,Hotdog,puerto-rico
Applebee's,389 Michael Drive Suite 565,Arepas,djibouti
Ruby Tuesday,9339 Autumn Burg Suite 220,Falafel,burkina-faso
Chick-fil-A,8877 Singleton Greens,Nasi Goreng,sudan
Starbucks,42875 Green Rapid,Tamales,samoa
Applebee's,1254 Mason Forks Apt. 495,Pierogi,hong-kong
Dunkin',8840 Grant Valley Suite 846,Empanadas,guinea
McDonald's,456 Carrie Dale Apt. 861,Miso Soup,ireland
KFC,300 Lloyd Causeway,Hummus,solomon-islands
Panera Bread,726 Michael Via Suite 090,Crepes,sierra-leone
Applebee's,2163 Sarah Inlet Suite 927,Churros,latvia
Outback Steakhouse,26939 Mathews Throughway Suite 744,Carrot Cake,cayman-islands
Popeyes,92252 Diane Flat,Borscht,china
Pizza Hut,52323 Mercer Skyway Apt. 291,Harira,canada
Pizza Hut,6469 Crystal Crossroad,Hummus,curacao
KFC,47568 Megan Village Apt. 490,Fried Chicken,zambia
Arby's,970 Smith Wells Suite 905,Haggis,cote-divoire
Panera Bread,442 Reynolds Expressway,Salad,somalia
Chipotle,254 Natalie Harbor,Shakshuka,nicaragua
Outback Steakhouse,3871 Castaneda Pines Apt. 351,Biryani,estonia
Burger King,039 Johnson Bypass Apt. 537,Tempura,cayman-islands
Texas Roadhouse,38536 Richardson Green,Roti,congo-republic-of-the
TGI Friday's,254 Natalie Harbor,Falafel,burkina-faso
Subway,66337 Julie Cape Apt. 093,Banoffee Pie,montenegro
Sonic Drive-In,96285 Morrison Dam,Tonkatsu,panama
KFC,477 Smith Meadow Apt. 029,Omelette,curacao
Taco Bell,74304 Kevin Trail,Hummus,botswana
Sonic Drive-In,1247 Grace Islands Apt. 246,Miso Soup,malta
KFC,943 Williams Flat Apt. 054,Clam Chowder,burundi
Texas Roadhouse,38536 Richardson Green,Borscht,sweden
Chili's,0768 Hector Trace,Lasagna,germany
Chick-fil-A,5113 Webb Springs,Samosa,georgia
Arby's,970 Smith Wells Suite 905,Arepas,kenya
Panera Bread,30025 Cynthia Bypass Apt. 688,Steak,guinea-bissau
Pizza Hut,3600 Tamara Circle Apt. 910,Shakshuka,virgin-islands
Applebee's,2483 Walker Road,Meatballs,bermuda
Cheesecake Factory,30538 Carrie Pike Apt. 628,Risotto,nicaragua
Ruby Tuesday,2314 Anderson Coves Suite 102,Moussaka,lesotho
Applebee's,8830 Wise Forest Apt. 322,Gelato,vanuatu
Domino's,251 Barnett Parks,Kimchi,nigeria
Chili's,447 Alyssa Radial Apt. 946,Coleslaw,costa-rica
Sonic Drive-In,5073 Scott Groves Suite 909,Hotdog,puerto-rico
KFC,8984 Moore Junctions Apt. 841,Lasagna,bahamas-the
McDonald's,82905 Douglas Plains Suite 291,Tonkatsu,panama
Popeyes,457 Bobby Lights Suite 545,Curry,antigua-and-barbuda
Sonic Drive-In,616 Yvette Islands,Barbecue Ribs,west-bank
Pizza Hut,209 Erika Land,Goulash,mozambique
Starbucks,42875 Green Rapid,Gnocchi,sao-tome-and-principe
Dunkin',81082 Albert Manors Apt. 771,Gumbo,isle-of-man
KFC,1673 Townsend Turnpike,Laksa,kazakhstan
Popeyes,161 Berry Falls Suite 287,Vindaloo,united-states
Red Lobster,18825 Powers Trail,Nasi Goreng,sudan
TGI Friday's,000 Kane Expressway,Steamed Buns,djibouti
Panera Bread,34980 Jones Inlet Apt. 469,Ratatouille,eswatini
Outback Steakhouse,491 Jennifer Parkway,Cheesecake,kenya
Panera Bread,442 Reynolds Expressway,Plantains,iran
Taco Bell,546 Clark Mall,Vindaloo,finland
Little Caesars,53104 Lambert Field Suite 907,Goulash,spain
Popeyes,845 Jennifer Underpass,Jollof Rice,maldives
Olive Garden,213 Brandon Extensions Suite 945,Gelato,cayman-islands
Cheesecake Factory,226 Patel Ridge Suite 602,Salad,malaysia
Domino's,251 Barnett Parks,Falafel,austria
KFC,44067 Thompson Crescent,Kimchi,nigeria
KFC,44067 Thompson Crescent,Vindaloo,united-states
IHOP,18825 Powers Trail,Pizza,dominican-republic
Chick-fil-A,74829 Clarke Park,Ratatouille,syria
Tim Hortons,150 Tina Shoals Apt. 638,Baguette,armenia
Chili's,6998 Colton Course Suite 685,Macarons,equatorial-guinea
Arby's,85583 Courtney Village Apt. 623,Nasi Goreng,jamaica
Ruby Tuesday,55401 Stanley Plaza Suite 740,Laksa,rwanda
Sonic Drive-In,96285 Morrison Dam,Poke Bowl,italy
Tim Hortons,25623 Scott Extensions,Haggis,cote-divoire
Panera Bread,726 Michael Via Suite 090,Gelato,kazakhstan
Ruby Tuesday,939 Smith Centers,Barbecue Ribs,iraq
Cheesecake Factory,6469 Crystal Crossroad,Biryani,niger
Popeyes,6409 Johnson Plaza Suite 999,French Fries,cabo-verde
Chili's,6998 Colton Course Suite 685,Quiche,india
Subway,85583 Courtney Village Apt. 623,Barbecue Ribs,israel
Red Lobster,278 Price Rest,Fish and Chips,new-zealand
Outback Steakhouse,26939 Mathews Throughway Suite 744,Pho,portugal
Olive Garden,58655 Warner Divide Suite 874,Falafel,burkina-faso
Shake Shack,20131 Bradley Ways,Vindaloo,finland
Olive Garden,322 Medina River,Cheesecake,colombia
Panera Bread,30025 Cynthia Bypass Apt. 688,Shepherd's Pie,isle-of-man
Subway,85583 Courtney Village Apt. 623,Miso Soup,ireland
IHOP,74004 Knight Manor,Crepes,israel
KFC,477 Smith Meadow Apt. 029,Dolma,sri-lanka
Cracker Barrel,150 Tina Shoals Apt. 638,Meatballs,pakistan
Popeyes,457 Bobby Lights Suite 545,Pasta,northern-mariana-islands
Outback Steakhouse,34229 Earl Squares Apt. 712,Laksa,nepal
Texas Roadhouse,9072 Sherman Loop,Haggis,sudan
Popeyes,457 Bobby Lights Suite 545,Pasta,switzerland
Starbucks,0324 Claudia Tunnel Apt. 292,Pasta,switzerland
Shake Shack,62001 Mallory Extension,Barbecue Ribs,iraq
Domino's,597 Matthews Dam Apt. 675,Barbecue Ribs,iraq
IHOP,345 Poole Prairie Suite 418,Pierogi,curacao
Sonic Drive-In,4859 Isaac Squares,Samosa,united-states
Texas Roadhouse,66456 Katherine Place,Crepes,thailand
Shake Shack,26939 Mathews Throughway Suite 744,Banoffee Pie,uruguay
Starbucks,0324 Claudia Tunnel Apt. 292,Pad Thai,dominican-republic
Five Guys,62545 Alexis Underpass Apt. 452,Coleslaw,uruguay
Chipotle,5887 Javier Fort Apt. 356,Udon,mauritania
KFC,47568 Megan Village Apt. 490,Miso Soup,zambia
Starbucks,44769 Alexander Meadow Apt. 850,Laksa,russia
Starbucks,186 Debra Village Suite 696,Quiche,el-salvador
IHOP,198 Dana Junctions,Fish and Chips,mauritania
Panera Bread,30025 Cynthia Bypass Apt. 688,Lamb Roast,burkina-faso
Little Caesars,2845 Miller Harbors Suite 164,Pierogi,united-kingdom
KFC,943 Williams Flat Apt. 054,Fish and Chips,saint-lucia
Applebee's,2163 Sarah Inlet Suite 927,Cheesecake,kenya
Olive Garden,213 Brandon Extensions Suite 945,Shakshuka,virgin-islands
Arby's,44067 Thompson Crescent,Udon,nepal
Tim Hortons,150 Tina Shoals Apt. 638,Arepas,vietnam
Applebee's,2163 Sarah Inlet Suite 927,Omelette,cabo-verde
Olive Garden,6402 Reid Ford,Hummus,curacao
Red Lobster,1870 Jennifer Village Suite 635,Satay,bahamas-the
Little Caesars,2225 Gibson Islands Apt. 616,Arepas,vietnam
Shake Shack,20131 Bradley Ways,Laksa,kazakhstan
Taco Bell,68341 Christy Village,Quiche,el-salvador
Panera Bread,08186 Briggs Path Apt. 893,Ceviche,seychelles
KFC,8984 Moore Junctions Apt. 841,Falafel,bosnia-and-herzegovina
Shake Shack,00983 Pamela Springs,Steak,russia
Cheesecake Factory,226 Patel Ridge Suite 602,Samosa,zimbabwe
Olive Garden,6402 Reid Ford,Carrot Cake,cayman-islands
Dunkin',597 Matthews Dam Apt. 675,Sticky Rice,botswana
